"estrato","upm","factor","programa","ingreso","score"
"Alta","A10",750,1,1409,48
"Alta","A10",750,0,3078,41
"Alta","A10",750,1,1377,51
"Alta","A10",750,1,5504,56
"Alta","A10",750,1,4040,52
"Alta","A10",750,0,5244,39
"Alta","A11",750,1,5402,50
"Alta","A11",750,0,6644,43
"Alta","A11",750,1,4293,51
"Alta","A11",750,1,5839,56
"Alta","A11",750,0,1570,44
"Alta","A11",750,1,924,40
"Alta","A11",750,1,2911,57
"Alta","A11",750,1,4544,47
"Alta","A11",750,1,4593,43
"Alta","A11",750,0,4990,35
"Alta","A12",750,1,5011,52
"Alta","A12",750,1,3045,59
"Alta","A12",750,1,4872,56
"Alta","A12",750,1,3134,49
"Alta","A12",750,1,3776,51
"Alta","A12",750,0,3317,41
"Alta","A12",750,0,3288,43
"Alta","A12",750,0,2047,40
"Alta","A12",750,1,2365,50
"Alta","A12",750,1,1622,65
"Alta","A13",750,1,3436,43
"Alta","A13",750,0,2775,33
"Alta","A13",750,1,3049,45
"Alta","A13",750,1,5774,47
"Alta","A13",750,1,3484,37
"Alta","A13",750,1,4329,39
"Alta","A13",750,0,1860,35
"Alta","A13",750,1,4643,37
"Alta","A13",750,1,5332,31
"Alta","A13",750,1,3440,28
"Alta","A14",750,1,6155,53
"Alta","A14",750,0,2906,45
"Alta","A14",750,1,6323,59
"Alta","A14",750,1,6654,65
"Alta","A14",750,1,7763,60
"Alta","A14",750,1,2177,53
"Alta","A14",750,1,6695,53
"Alta","A14",750,1,4193,47
"Alta","A14",750,1,5264,54
"Alta","A14",750,1,8128,49
"Alta","A15",750,0,1931,52
"Alta","A15",750,1,6637,54
"Alta","A15",750,1,5867,49
"Alta","A15",750,1,4756,51
"Alta","A15",750,1,3196,52
"Alta","A15",750,1,2915,58
"Alta","A15",750,1,3602,53
"Alta","A15",750,1,4818,60
"Alta","A15",750,1,3321,49
"Alta","A15",750,1,2933,57
"Alta","A16",750,1,5828,61
"Alta","A16",750,1,6354,58
"Alta","A16",750,0,6175,53
"Alta","A16",750,1,7556,55
"Alta","A16",750,1,4439,59
"Alta","A16",750,1,4825,54
"Alta","A16",750,0,7356,42
"Alta","A16",750,1,6213,49
"Alta","A16",750,1,8323,59
"Alta","A16",750,0,5274,37
"Alta","A17",750,0,2844,23
"Alta","A17",750,1,712,46
"Alta","A17",750,1,1776,38
"Alta","A17",750,1,5313,43
"Alta","A17",750,1,2233,30
"Alta","A17",750,1,6401,50
"Alta","A17",750,1,4902,38
"Alta","A17",750,0,6427,27
"Alta","A17",750,1,4396,45
"Alta","A17",750,0,3568,27
"Alta","A18",750,1,7677,64
"Alta","A18",750,1,7245,62
"Alta","A18",750,1,6843,64
"Alta","A18",750,1,6077,62
"Alta","A18",750,1,6478,55
"Alta","A18",750,0,3999,48
"Alta","A18",750,1,4521,58
"Alta","A18",750,1,4285,51
"Alta","A18",750,1,7248,59
"Alta","A18",750,1,4041,56
"Alta","A19",750,1,4136,36
"Alta","A19",750,1,1966,41
"Alta","A19",750,1,4080,52
"Alta","A19",750,1,2062,41
"Alta","A19",750,1,1814,36
"Alta","A19",750,1,4733,34
"Alta","A19",750,0,4469,31
"Alta","A19",750,1,2954,47
"Alta","A19",750,1,5268,54
"Alta","A19",750,1,3046,42
"Alta","A20",750,1,2960,62
"Alta","A20",750,1,506,50
"Alta","A20",750,1,1780,48
"Alta","A20",750,1,1254,49
"Alta","A20",750,0,2954,27
"Alta","A20",750,0,2206,40
"Alta","A20",750,0,831,33
"Alta","A20",750,1,3156,55
"Alta","A20",750,1,4750,47
"Alta","A20",750,0,3232,37
"Alta","A21",750,0,6040,46
"Alta","A21",750,1,7273,44
"Alta","A21",750,1,4376,46
"Alta","A21",750,0,3756,45
"Alta","A21",750,1,5067,57
"Alta","A21",750,1,4787,51
"Alta","A21",750,1,6895,46
"Alta","A21",750,1,6683,50
"Alta","A21",750,1,4970,58
"Alta","A21",750,1,5428,43
"Alta","A22",750,1,4970,57
"Alta","A22",750,1,6658,55
"Alta","A22",750,1,2893,57
"Alta","A22",750,1,3876,63
"Alta","A22",750,1,4137,66
"Alta","A22",750,1,3952,59
"Alta","A22",750,1,3096,68
"Alta","A22",750,0,4395,57
"Alta","A22",750,1,3652,71
"Alta","A22",750,0,4570,58
"Alta","A23",750,1,5674,56
"Alta","A23",750,1,5623,46
"Alta","A23",750,1,3972,53
"Alta","A23",750,1,5154,59
"Alta","A23",750,1,4213,58
"Alta","A23",750,1,9262,53
"Alta","A23",750,1,4457,46
"Alta","A23",750,0,8873,41
"Alta","A23",750,1,4851,44
"Alta","A23",750,0,5404,42
"Alta","A24",750,1,5125,50
"Alta","A24",750,1,6995,62
"Alta","A24",750,0,7598,50
"Alta","A24",750,1,9684,63
"Alta","A24",750,0,9801,40
"Alta","A24",750,0,4785,41
"Alta","A24",750,1,6753,61
"Alta","A24",750,1,5226,43
"Alta","A24",750,1,4860,47
"Alta","A24",750,1,4827,60
"Alta","A25",750,1,1787,59
"Alta","A25",750,1,3555,59
"Alta","A25",750,0,2893,40
"Alta","A25",750,1,1810,54
"Alta","A25",750,1,4310,60
"Alta","A25",750,1,500,53
"Alta","A25",750,1,2586,49
"Alta","A25",750,1,500,62
"Alta","A25",750,0,2311,39
"Alta","A25",750,1,500,53
"Alta","A26",750,1,5545,49
"Alta","A26",750,0,3579,50
"Alta","A26",750,0,7846,44
"Alta","A26",750,0,6996,44
"Alta","A26",750,1,10500,51
"Alta","A26",750,1,7729,65
"Alta","A26",750,0,10402,46
"Alta","A26",750,0,3621,49
"Alta","A26",750,1,6822,48
"Alta","A26",750,0,8786,50
"Alta","A27",750,1,9516,56
"Alta","A27",750,1,8612,50
"Alta","A27",750,0,8050,36
"Alta","A27",750,0,10577,38
"Alta","A27",750,1,8533,53
"Alta","A27",750,0,9955,38
"Alta","A27",750,0,7000,48
"Alta","A27",750,1,7599,54
"Alta","A27",750,1,7719,52
"Alta","A27",750,1,3114,56
"Alta","A28",750,0,2120,41
"Alta","A28",750,1,5774,63
"Alta","A28",750,1,4442,50
"Alta","A28",750,1,6264,63
"Alta","A28",750,1,7406,63
"Alta","A28",750,1,7286,41
"Alta","A28",750,1,3808,54
"Alta","A28",750,1,5126,66
"Alta","A28",750,1,4671,56
"Alta","A28",750,1,5794,65
"Alta","A29",750,1,4448,44
"Alta","A29",750,1,3184,45
"Alta","A29",750,1,5333,63
"Alta","A29",750,1,4939,50
"Alta","A29",750,1,4089,53
"Alta","A29",750,0,3836,41
"Alta","A29",750,1,6555,59
"Alta","A29",750,0,4954,45
"Alta","A29",750,1,6598,58
"Alta","A29",750,1,5093,63
"Alta","A30",750,1,2845,56
"Alta","A30",750,1,5775,44
"Alta","A30",750,1,4317,44
"Alta","A30",750,1,3300,53
"Alta","A30",750,1,2520,58
"Alta","A30",750,1,2433,37
"Alta","A30",750,0,2408,51
"Alta","A30",750,1,1140,58
"Alta","A30",750,1,3542,69
"Alta","A30",750,0,3473,47
"Alta","A31",750,1,4102,51
"Alta","A31",750,1,6953,50
"Alta","A31",750,1,7398,45
"Alta","A31",750,0,5574,37
"Alta","A31",750,1,8285,55
"Alta","A31",750,1,5198,47
"Alta","A31",750,0,6854,30
"Alta","A31",750,1,9830,54
"Alta","A31",750,1,7127,41
"Alta","A31",750,1,7093,45
"Alta","A32",750,0,3520,51
"Alta","A32",750,1,4236,64
"Alta","A32",750,0,5700,61
"Alta","A32",750,1,3506,64
"Alta","A32",750,1,4665,59
"Alta","A32",750,1,2831,51
"Alta","A32",750,1,4755,63
"Alta","A32",750,1,5115,62
"Alta","A32",750,1,3623,64
"Alta","A32",750,1,3081,54
"Alta","A33",750,1,2238,68
"Alta","A33",750,0,4066,60
"Alta","A33",750,0,1840,51
"Alta","A33",750,1,1537,65
"Alta","A33",750,1,500,67
"Alta","A33",750,1,3753,69
"Alta","A33",750,1,500,60
"Alta","A33",750,0,4320,62
"Alta","A33",750,0,2431,48
"Alta","A33",750,0,2872,64
"Alta","A34",750,1,5777,61
"Alta","A34",750,1,7907,53
"Alta","A34",750,1,6811,52
"Alta","A34",750,1,6040,51
"Alta","A34",750,0,8000,44
"Alta","A34",750,1,5066,57
"Alta","A34",750,0,3991,43
"Alta","A34",750,1,5590,66
"Alta","A34",750,1,5570,57
"Alta","A34",750,1,6775,63
"Alta","A35",750,1,1338,70
"Alta","A35",750,1,5094,55
"Alta","A35",750,0,3822,42
"Alta","A35",750,1,2759,77
"Alta","A35",750,1,4154,67
"Alta","A35",750,1,2792,69
"Alta","A35",750,1,2524,60
"Alta","A35",750,0,2175,45
"Alta","A35",750,1,4228,68
"Alta","A35",750,1,4341,57
"Alta","A36",750,1,7305,54
"Alta","A36",750,1,5522,50
"Alta","A36",750,1,4078,59
"Alta","A36",750,1,6833,50
"Alta","A36",750,1,5563,51
"Alta","A36",750,1,5986,65
"Alta","A36",750,0,7108,51
"Alta","A36",750,1,9297,56
"Alta","A36",750,1,5954,53
"Alta","A36",750,1,6356,49
"Alta","A37",750,1,2371,54
"Alta","A37",750,1,500,39
"Alta","A37",750,1,500,56
"Alta","A37",750,1,500,43
"Alta","A37",750,0,1522,38
"Alta","A37",750,1,1547,51
"Alta","A37",750,1,500,44
"Alta","A37",750,1,500,47
"Alta","A37",750,0,500,45
"Alta","A37",750,0,1067,34
"Alta","A38",750,0,1754,47
"Alta","A38",750,1,2780,54
"Alta","A38",750,1,500,59
"Alta","A38",750,1,500,55
"Alta","A38",750,1,500,69
"Alta","A38",750,1,1543,59
"Alta","A38",750,1,3163,52
"Alta","A38",750,1,3157,64
"Alta","A38",750,1,4061,62
"Alta","A38",750,1,1412,57
"Alta","A39",750,1,9024,42
"Alta","A39",750,1,5430,44
"Alta","A39",750,1,11027,36
"Alta","A39",750,1,6904,51
"Alta","A39",750,1,7843,46
"Alta","A39",750,1,9107,38
"Alta","A39",750,1,6022,46
"Alta","A39",750,0,6634,50
"Alta","A39",750,1,6860,41
"Alta","A39",750,0,7383,39
"Alta","A40",750,1,2658,57
"Alta","A40",750,1,1791,73
"Alta","A40",750,1,500,66
"Alta","A40",750,1,1256,61
"Alta","A40",750,1,1167,59
"Alta","A40",750,1,2182,53
"Alta","A40",750,1,541,65
"Alta","A40",750,1,1169,68
"Alta","A40",750,1,2235,69
"Alta","A40",750,0,4087,39
"Media","M1",1200,0,7772,57
"Media","M1",1200,0,8180,52
"Media","M1",1200,0,10919,61
"Media","M1",1200,0,8189,61
"Media","M1",1200,0,8272,43
"Media","M1",1200,1,7617,64
"Media","M1",1200,0,10240,46
"Media","M1",1200,0,7899,58
"Media","M1",1200,0,11061,52
"Media","M1",1200,0,9553,45
"Media","M2",1200,1,5906,71
"Media","M2",1200,0,6502,64
"Media","M2",1200,0,5995,64
"Media","M2",1200,0,5526,54
"Media","M2",1200,1,5366,72
"Media","M2",1200,1,7850,69
"Media","M2",1200,0,7593,63
"Media","M2",1200,0,6451,59
"Media","M2",1200,0,9826,70
"Media","M2",1200,1,8526,77
"Media","M3",1200,0,4391,60
"Media","M3",1200,0,4377,49
"Media","M3",1200,1,3243,59
"Media","M3",1200,1,3137,63
"Media","M3",1200,0,2541,51
"Media","M3",1200,1,5267,68
"Media","M3",1200,1,4059,65
"Media","M3",1200,0,4596,61
"Media","M3",1200,1,4596,67
"Media","M3",1200,0,4712,52
"Media","M4",1200,0,6844,61
"Media","M4",1200,0,7140,52
"Media","M4",1200,1,6085,70
"Media","M4",1200,0,2982,53
"Media","M4",1200,0,6027,54
"Media","M4",1200,0,7454,61
"Media","M4",1200,1,7162,76
"Media","M4",1200,1,4499,75
"Media","M4",1200,0,6520,51
"Media","M4",1200,1,8074,63
"Media","M5",1200,1,8049,63
"Media","M5",1200,1,7217,58
"Media","M5",1200,0,8563,51
"Media","M5",1200,0,7843,50
"Media","M5",1200,1,10526,62
"Media","M5",1200,0,9632,63
"Media","M5",1200,1,6297,60
"Media","M5",1200,0,8930,49
"Media","M5",1200,1,7749,71
"Media","M5",1200,1,6861,63
"Media","M6",1200,0,7549,61
"Media","M6",1200,0,8564,62
"Media","M6",1200,0,11772,63
"Media","M6",1200,1,9822,74
"Media","M6",1200,1,6180,71
"Media","M6",1200,0,8661,67
"Media","M6",1200,1,9860,79
"Media","M6",1200,0,5950,54
"Media","M6",1200,1,8727,69
"Media","M6",1200,0,6060,74
"Media","M7",1200,0,12307,84
"Media","M7",1200,1,8958,81
"Media","M7",1200,0,9185,72
"Media","M7",1200,0,8691,85
"Media","M7",1200,1,6944,87
"Media","M7",1200,1,8613,90
"Media","M7",1200,1,8880,80
"Media","M7",1200,0,9799,74
"Media","M7",1200,0,7224,75
"Media","M7",1200,1,5639,84
"Media","M8",1200,0,9835,69
"Media","M8",1200,0,9778,64
"Media","M8",1200,1,9825,76
"Media","M8",1200,1,9297,75
"Media","M8",1200,1,10045,75
"Media","M8",1200,0,11867,71
"Media","M8",1200,1,10807,70
"Media","M8",1200,0,8653,52
"Media","M8",1200,0,11146,58
"Media","M8",1200,0,11304,52
"Media","M9",1200,1,7288,74
"Media","M9",1200,1,7455,78
"Media","M9",1200,1,10273,68
"Media","M9",1200,0,7025,55
"Media","M9",1200,0,8752,68
"Media","M9",1200,0,3867,64
"Media","M9",1200,0,8812,71
"Media","M9",1200,1,7474,73
"Media","M9",1200,1,10591,70
"Media","M9",1200,1,8307,65
"Media","M10",1200,1,6439,76
"Media","M10",1200,0,6806,65
"Media","M10",1200,0,8124,57
"Media","M10",1200,1,5561,78
"Media","M10",1200,1,6869,72
"Media","M10",1200,0,8020,57
"Media","M10",1200,0,6264,61
"Media","M10",1200,1,7546,76
"Media","M10",1200,0,5220,57
"Media","M10",1200,0,4515,65
"Media","M11",1200,0,6346,58
"Media","M11",1200,1,6790,71
"Media","M11",1200,0,6915,71
"Media","M11",1200,0,6089,62
"Media","M11",1200,0,6449,59
"Media","M11",1200,1,4565,67
"Media","M11",1200,1,5384,63
"Media","M11",1200,0,6314,52
"Media","M11",1200,0,4394,57
"Media","M11",1200,0,5041,60
"Media","M12",1200,0,6005,46
"Media","M12",1200,0,10213,52
"Media","M12",1200,0,11319,59
"Media","M12",1200,0,7873,67
"Media","M12",1200,0,7535,49
"Media","M12",1200,1,8330,79
"Media","M12",1200,1,8326,70
"Media","M12",1200,1,6070,73
"Media","M12",1200,0,9631,40
"Media","M12",1200,0,6519,59
"Media","M13",1200,0,7560,58
"Media","M13",1200,0,10071,55
"Media","M13",1200,0,6431,65
"Media","M13",1200,0,7642,62
"Media","M13",1200,0,10047,81
"Media","M13",1200,0,8774,64
"Media","M13",1200,1,8318,74
"Media","M13",1200,0,8428,66
"Media","M13",1200,0,10156,59
"Media","M13",1200,1,8902,90
"Media","M14",1200,0,3431,55
"Media","M14",1200,0,2528,51
"Media","M14",1200,0,2345,56
"Media","M14",1200,1,2592,59
"Media","M14",1200,0,5562,58
"Media","M14",1200,1,5008,67
"Media","M14",1200,0,3878,58
"Media","M14",1200,0,1865,51
"Media","M14",1200,0,3381,60
"Media","M14",1200,1,5580,68
"Media","M15",1200,0,6892,69
"Media","M15",1200,0,6663,73
"Media","M15",1200,0,5982,67
"Media","M15",1200,1,9772,76
"Media","M15",1200,0,5898,64
"Media","M15",1200,1,7520,74
"Media","M15",1200,0,9844,69
"Media","M15",1200,1,7396,74
"Media","M15",1200,1,7546,68
"Media","M15",1200,0,7232,66
"Media","M16",1200,0,10319,44
"Media","M16",1200,0,5382,69
"Media","M16",1200,0,11244,63
"Media","M16",1200,0,8012,53
"Media","M16",1200,0,10235,62
"Media","M16",1200,1,8201,67
"Media","M16",1200,1,11945,65
"Media","M16",1200,1,8440,70
"Media","M16",1200,0,11229,60
"Media","M16",1200,1,9311,77
"Media","M17",1200,1,10838,72
"Media","M17",1200,1,9238,60
"Media","M17",1200,0,6280,70
"Media","M17",1200,0,10566,56
"Media","M17",1200,0,5005,56
"Media","M17",1200,0,9290,71
"Media","M17",1200,0,7162,51
"Media","M17",1200,0,11027,51
"Media","M17",1200,0,9124,53
"Media","M17",1200,0,6731,66
"Media","M18",1200,1,7812,82
"Media","M18",1200,0,8866,60
"Media","M18",1200,1,6787,76
"Media","M18",1200,0,8812,65
"Media","M18",1200,1,9017,79
"Media","M18",1200,1,8543,77
"Media","M18",1200,0,8796,69
"Media","M18",1200,0,10542,64
"Media","M18",1200,0,8924,62
"Media","M18",1200,0,9975,62
"Media","M19",1200,1,6342,69
"Media","M19",1200,1,3493,77
"Media","M19",1200,1,6735,58
"Media","M19",1200,1,5763,63
"Media","M19",1200,1,6976,73
"Media","M19",1200,1,2300,52
"Media","M19",1200,0,4498,52
"Media","M19",1200,0,5188,65
"Media","M19",1200,0,4709,52
"Media","M19",1200,1,5534,72
"Media","M20",1200,1,7871,50
"Media","M20",1200,0,4012,62
"Media","M20",1200,0,12333,55
"Media","M20",1200,1,7472,68
"Media","M20",1200,0,7305,63
"Media","M20",1200,0,6473,55
"Media","M20",1200,1,7209,69
"Media","M20",1200,1,9636,58
"Media","M20",1200,0,8472,55
"Media","M20",1200,0,9241,51
"Media","M21",1200,0,4736,64
"Media","M21",1200,0,8795,56
"Media","M21",1200,0,7588,53
"Media","M21",1200,0,10254,55
"Media","M21",1200,0,7037,69
"Media","M21",1200,1,6122,68
"Media","M21",1200,1,6602,69
"Media","M21",1200,1,6701,70
"Media","M21",1200,0,9762,59
"Media","M21",1200,0,7246,63
"Media","M22",1200,0,10010,65
"Media","M22",1200,1,10313,75
"Media","M22",1200,1,10578,67
"Media","M22",1200,0,12414,71
"Media","M22",1200,0,10530,61
"Media","M22",1200,0,10414,56
"Media","M22",1200,0,10571,69
"Media","M22",1200,0,8957,67
"Media","M22",1200,1,9099,74
"Media","M22",1200,0,7297,65
"Media","M23",1200,1,10507,71
"Media","M23",1200,1,5469,71
"Media","M23",1200,1,8669,66
"Media","M23",1200,0,10880,54
"Media","M23",1200,0,8666,63
"Media","M23",1200,1,8654,75
"Media","M23",1200,0,9717,58
"Media","M23",1200,1,8197,63
"Media","M23",1200,1,8256,68
"Media","M23",1200,0,8517,65
"Media","M24",1200,0,9118,52
"Media","M24",1200,0,8915,60
"Media","M24",1200,0,7934,49
"Media","M24",1200,0,9778,53
"Media","M24",1200,0,11601,51
"Media","M24",1200,0,5993,61
"Media","M24",1200,0,9172,53
"Media","M24",1200,0,7768,62
"Media","M24",1200,1,10050,66
"Media","M24",1200,0,6205,41
"Media","M25",1200,0,6096,60
"Media","M25",1200,1,6862,76
"Media","M25",1200,0,7339,74
"Media","M25",1200,0,6608,78
"Media","M25",1200,0,6931,73
"Media","M25",1200,0,6191,75
"Media","M25",1200,1,7832,85
"Media","M25",1200,0,8151,79
"Media","M25",1200,0,6944,83
"Media","M25",1200,0,6915,70
"Baja","B1",1600,0,8186,85
"Baja","B1",1600,1,11973,93
"Baja","B1",1600,0,7982,83
"Baja","B1",1600,0,9663,87
"Baja","B1",1600,1,10404,97
"Baja","B1",1600,1,9693,100
"Baja","B1",1600,1,8257,91
"Baja","B1",1600,0,5285,80
"Baja","B1",1600,0,9590,88
"Baja","B1",1600,0,8881,72
"Baja","B2",1600,0,13483,91
"Baja","B2",1600,0,12852,91
"Baja","B2",1600,0,10935,87
"Baja","B2",1600,0,12528,95
"Baja","B2",1600,1,12805,99
"Baja","B2",1600,0,9501,82
"Baja","B2",1600,0,8046,91
"Baja","B2",1600,1,11550,92
"Baja","B2",1600,0,12789,82
"Baja","B2",1600,1,10448,91
"Baja","B3",1600,1,11184,87
"Baja","B3",1600,0,13219,81
"Baja","B3",1600,0,11703,76
"Baja","B3",1600,0,16237,69
"Baja","B3",1600,0,12748,86
"Baja","B3",1600,0,13321,76
"Baja","B3",1600,0,13174,76
"Baja","B3",1600,0,10760,68
"Baja","B3",1600,0,13030,83
"Baja","B3",1600,0,13292,82
"Baja","B4",1600,0,11771,92
"Baja","B4",1600,0,13781,85
"Baja","B4",1600,0,13439,94
"Baja","B4",1600,0,13034,84
"Baja","B4",1600,0,14556,88
"Baja","B4",1600,0,13949,86
"Baja","B4",1600,0,14036,87
"Baja","B4",1600,0,14378,85
"Baja","B4",1600,1,11991,100
"Baja","B4",1600,0,14327,85
"Baja","B5",1600,0,11950,65
"Baja","B5",1600,0,14374,79
"Baja","B5",1600,0,15518,67
"Baja","B5",1600,1,12616,72
"Baja","B5",1600,0,13201,65
"Baja","B5",1600,1,12894,82
"Baja","B5",1600,0,16047,74
"Baja","B5",1600,0,13080,75
"Baja","B5",1600,0,14609,87
"Baja","B5",1600,0,12668,72
"Baja","B6",1600,0,15832,87
"Baja","B6",1600,0,16319,77
"Baja","B6",1600,0,17268,77
"Baja","B6",1600,0,13035,74
"Baja","B6",1600,0,14557,94
"Baja","B6",1600,0,14236,69
"Baja","B6",1600,0,15155,93
"Baja","B6",1600,0,13340,82
"Baja","B6",1600,1,14881,89
"Baja","B6",1600,1,13239,92
"Baja","B7",1600,0,14301,94
"Baja","B7",1600,0,11059,82
"Baja","B7",1600,0,13706,86
"Baja","B7",1600,0,12115,91
"Baja","B7",1600,1,15091,100
"Baja","B7",1600,1,12253,96
"Baja","B7",1600,1,13463,93
"Baja","B7",1600,0,11166,80
"Baja","B7",1600,0,14488,86
"Baja","B7",1600,1,12474,100
"Baja","B8",1600,0,11505,91
"Baja","B8",1600,0,15760,76
"Baja","B8",1600,0,14062,84
"Baja","B8",1600,0,17092,77
"Baja","B8",1600,0,15636,74
"Baja","B8",1600,0,14681,89
"Baja","B8",1600,0,15367,87
"Baja","B8",1600,0,12852,70
"Baja","B8",1600,0,12292,82
"Baja","B8",1600,0,13951,80
"Baja","B9",1600,0,10154,77
"Baja","B9",1600,1,10237,87
"Baja","B9",1600,0,13220,86
"Baja","B9",1600,0,11680,77
"Baja","B9",1600,0,13748,74
"Baja","B9",1600,1,14413,88
"Baja","B9",1600,0,10749,87
"Baja","B9",1600,0,12443,80
"Baja","B9",1600,0,11939,82
"Baja","B9",1600,0,12256,66
"Baja","B10",1600,0,14511,78
"Baja","B10",1600,0,13627,73
"Baja","B10",1600,1,17197,90
"Baja","B10",1600,0,15345,74
"Baja","B10",1600,0,15877,72
"Baja","B10",1600,1,15131,86
"Baja","B10",1600,0,14348,80
"Baja","B10",1600,0,15833,77
"Baja","B10",1600,0,10314,81
"Baja","B10",1600,1,16786,98
"Baja","B11",1600,0,13017,70
"Baja","B11",1600,0,12453,62
"Baja","B11",1600,1,11884,80
"Baja","B11",1600,0,12469,68
"Baja","B11",1600,0,12863,72
"Baja","B11",1600,0,12791,70
"Baja","B11",1600,1,12492,83
"Baja","B11",1600,0,13658,62
"Baja","B11",1600,0,10554,57
"Baja","B11",1600,1,13252,74
"Baja","B12",1600,1,14082,85
"Baja","B12",1600,1,13285,87
"Baja","B12",1600,1,17270,78
"Baja","B12",1600,0,14182,79
"Baja","B12",1600,0,13282,69
"Baja","B12",1600,0,14021,82
"Baja","B12",1600,0,14874,62
"Baja","B12",1600,0,9455,77
"Baja","B12",1600,0,14730,73
"Baja","B12",1600,0,13619,74
"Baja","B13",1600,1,16909,97
"Baja","B13",1600,0,11388,91
"Baja","B13",1600,0,13677,87
"Baja","B13",1600,0,13155,81
"Baja","B13",1600,0,10491,98
"Baja","B13",1600,0,11802,81
"Baja","B13",1600,0,12170,84
"Baja","B13",1600,0,8573,86
"Baja","B13",1600,0,11889,87
"Baja","B13",1600,0,12270,83
"Baja","B14",1600,1,10462,100
"Baja","B14",1600,0,11838,81
"Baja","B14",1600,1,12007,100
"Baja","B14",1600,1,8795,99
"Baja","B14",1600,0,10902,88
"Baja","B14",1600,0,10401,86
"Baja","B14",1600,0,14622,84
"Baja","B14",1600,0,11202,88
"Baja","B14",1600,0,13439,87
"Baja","B14",1600,0,11350,77
"Baja","B15",1600,0,11316,62
"Baja","B15",1600,0,10286,73
"Baja","B15",1600,1,9500,84
"Baja","B15",1600,0,12468,78
"Baja","B15",1600,0,8567,72
"Baja","B15",1600,1,12187,71
"Baja","B15",1600,0,9497,85
"Baja","B15",1600,0,10305,70
"Baja","B15",1600,0,10028,72
"Baja","B15",1600,0,10879,81
"Baja","B16",1600,0,13922,74
"Baja","B16",1600,0,10515,67
"Baja","B16",1600,0,16986,75
"Baja","B16",1600,0,13855,68
"Baja","B16",1600,0,12862,74
"Baja","B16",1600,1,15963,81
"Baja","B16",1600,0,12820,73
"Baja","B16",1600,0,15748,74
"Baja","B16",1600,0,14212,74
"Baja","B16",1600,0,16011,72
"Baja","B17",1600,0,12640,78
"Baja","B17",1600,0,13578,73
